"Price","Bedrooms","Bathrooms","Size","Crime","Transit","Shopping","Health","Entertainment","Community","Diversity","Schools","Employment"
"3075000.0","2.0","3.0","2249.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"2999990.0","3.0","3.0","2749.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"2999900.0","4.0","4.0","3249.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"2875000.0","2.0","3.0","2249.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"2595000.0","2.0","2.0","1999.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"2558000.0","3.0","2.0","2499.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"2469000.0","3.0","4.0","3249.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"2359990.0","3.0","3.0","1799.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"2350000.0","3.0","3.0","1799.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"2350000.0","3.0","3.0","1799.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"2129990.0","3.0","3.0","1599.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"2000000.0","1.0","2.0","1799.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"1900000.0","2.0","2.0","1599.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"1890800.0","3.0","3.0","1599.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"1878000.0","3.0","3.0","2249.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"1849900.0","2.0","3.0","1999.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"1800000.0","2.0","2.0","1599.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"1699000.0","3.0","3.0","1599.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"1688000.0","3.0","3.0","1599.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"1620000.0","3.0","3.0","1599.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"1600000.0","2.0","2.0","1199.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"1600000.0","3.0","2.0","1199.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"1600000.0","2.0","2.0","1599.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"1600000.0","1.0","2.0","1399.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"1599990.0","3.0","3.0","1799.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"1499900.0","2.0","3.0","1599.0","4.2","96.5","97.2","14.1","79.6","58.5","31.7","78.9","84.5"
"1472000.0","2.0","2.0","1799.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"1450000.0","2.0","2.0","1199.0","6.3","90.1","90.1","45.8","41.5","53.5","69.0","83.1","93.0"
"1450000.0","3.0","3.0","1599.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"1449800.0","2.0","2.0","1599.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
"1438000.0","2.0","3.0","1599.0","0.7","45.1","79.6","21.1","73.2","98.6","76.8","51.4","98.6"
