Price,Bedrooms,Bathrooms,Size,Crime,Transit,Shopping,Entertainment,Diversity,Schools,Employment
928000,3,2,980,6.3,90.1,90.1,41.5,69,83.1,93
1168000,3,3,1060,0.7,45.1,79.6,73.2,76.8,51.4,98.6
729900,2,2,830,4.2,96.5,97.2,79.6,31.7,78.9,84.5
825000,2,3,900,6.3,90.1,90.1,41.5,69,83.1,93
795000,2,2,820,6.3,90.1,90.1,41.5,69,83.1,93
958000,3,3,1020,0.7,45.1,79.6,73.2,76.8,51.4,98.6
909000,3,2,920,0.7,45.1,79.6,73.2,76.8,51.4,98.6
629990,2,2,680,4.2,96.5,97.2,79.6,31.7,78.9,84.5
640000,2,2,740,4.2,96.5,97.2,79.6,31.7,78.9,84.5
710000,2,2,810,4.2,96.5,97.2,79.6,31.7,78.9,84.5
809990,2,3,990,4.2,96.5,97.2,79.6,31.7,78.9,84.5
520000,1,2,590,0.7,45.1,79.6,73.2,76.8,51.4,98.6
790000,2,2,780,6.3,90.1,90.1,41.5,69,83.1,93
1090800,3,3,1100,4.2,96.5,97.2,79.6,31.7,78.9,84.5
778000,2,2,870,6.3,90.1,90.1,41.5,69,83.1,93
749900,2,3,860,4.2,96.5,97.2,79.6,31.7,78.9,84.5
680000,2,2,780,6.3,90.1,90.1,41.5,69,83.1,93
1019000,3,3,1199,0.7,45.1,79.6,73.2,76.8,51.4,98.6
1088000,3,3,1200,4.2,96.5,97.2,79.6,31.7,78.9,84.5
570000,1,1,599,0.7,45.1,79.6,73.2,76.8,51.4,98.6
710000,2,2,799,6.3,90.1,90.1,41.5,69,83.1,93
1000000,3,2,1099,4.2,96.5,97.2,79.6,31.7,78.9,84.5
600000,2,2,800,6.3,90.1,90.1,41.5,69,83.1,93
490000,1,2,680,0.7,45.1,79.6,73.2,76.8,51.4,98.6
1099990,3,3,1199,6.3,90.1,90.1,41.5,69,83.1,93
709900,2,3,960,4.2,96.5,97.2,79.6,31.7,78.9,84.5
612000,2,2,690,0.7,45.1,79.6,73.2,76.8,51.4,98.6
660000,2,2,760,6.3,90.1,90.1,41.5,69,83.1,93
1120000,3,3,1100,0.7,45.1,79.6,73.2,76.8,51.4,98.6
719800,2,2,780,0.7,45.1,79.6,73.2,76.8,51.4,98.6
738000,2,3,790,0.7,45.1,79.6,73.2,76.8,51.4,98.6
1040000,3,3,1090,0.7,45.1,79.6,73.2,76.8,51.4,98.6
719000,2,2,799,4.2,96.5,97.2,79.6,31.7,78.9,84.5
790000,2,3,840,0.7,45.1,79.6,73.2,76.8,51.4,98.6
994000,3,3,1200,0.7,45.1,79.6,73.2,76.8,51.4,98.6
650000,2,2,899,6.3,90.1,90.1,41.5,69,83.1,93
950000,3,2,1199,0.7,45.1,79.6,73.2,76.8,51.4,98.6
718000,2,2,790,0.7,45.1,79.6,73.2,76.8,51.4,98.6
699999,1,2,699,0.7,45.1,79.6,73.2,76.8,51.4,98.6
829000,2,3,890,0.7,45.1,79.6,73.2,76.8,51.4,98.6
918000,3,2,1199,4.2,96.5,97.2,79.6,31.7,78.9,84.5
915000,3,2,1199,6.3,90.1,90.1,41.5,69,83.1,93
668880,2,2,799,4.2,96.5,97.2,79.6,31.7,78.9,84.5
670000,2,2,799,4.2,96.5,97.2,79.6,31.7,78.9,84.5
1050000,3,3,1199,4.2,96.5,97.2,79.6,31.7,78.9,84.5
980000,3,2,999,6.3,90.1,90.1,41.5,69,83.1,93
629000,2,2,780,0.7,45.1,79.6,73.2,76.8,51.4,98.6
668000,2,2,899,6.3,90.1,90.1,41.5,69,83.1,93
488000,1,2,590,6.3,90.1,90.1,41.5,69,83.1,93
1085000,3,2,999,66.2,85.2,89.4,76.1,3.5,47.2,97.9
669000,2,2,899,6.3,90.1,90.1,41.5,69,83.1,93
768800,2,3,1090,0.7,45.1,79.6,73.2,76.8,51.4,98.6
950000,3,2,999,0.7,45.1,79.6,73.2,76.8,51.4,98.6
629000,2,2,899,4.2,96.5,97.2,79.6,31.7,78.9,84.5
1099900,3,2,1199,4.2,96.5,97.2,79.6,31.7,78.9,84.5
799000,2,2,999,4.2,96.5,97.2,79.6,31.7,78.9,84.5
490000,1,1,599,6.3,90.1,90.1,41.5,69,83.1,93
