Crime,Transit,Shopping,Health,Entertainment,Community,Diversity,Schools,Employment,neignbourhood
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
66.2,85.2,89.4,74.6,76.1,53.5,3.5,47.2,97.9,0.791839
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
4.9,89.4,98.6,26.1,88,73.9,21.8,19,89.4,0.91442961
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.74292598
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.95446712
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.71439534
