Crime,Transit,Shopping,Health,Entertainment,Community,Diversity,Schools,Employment
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
66.2,85.2,89.4,74.6,76.1,53.5,3.5,47.2,97.9
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.9,89.4,98.6,26.1,88,73.9,21.8,19,89.4
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.9,89.4,98.6,26.1,88,73.9,21.8,19,89.4
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
66.2,85.2,89.4,74.6,76.1,53.5,3.5,47.2,97.9
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
44.4,98.6,75.4,8.5,83.1,85.2,86.6,12.7,33.1
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
4.9,89.4,98.6,26.1,88,73.9,21.8,19,89.4
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
