Bedrooms,Bathrooms,Size,neighbour
2,2,950,0.756976545
3,3,1299,0.76688695
3,3,1200,0.9413836
1,2,680,0.756976545
2,2,890,0.756976545
3,2,1100,0.76688695
3,2,1299,0.76688695
3,3,1400,0.9413836
2,2,810,0.9413836
2,2,800,0.9413836
3,3,1399,0.9413836
1,2,599,0.76688695
2,2,890,0.756976545
3,3,1299,0.9413836
2,1,720,0.756976545
2,3,890,0.9413836
2,2,870,0.756976545
3,3,1200,0.76688695
3,3,1300,0.9413836
3,3,1299,0.76688695
2,2,870,0.756976545
3,2,1199,0.9413836
2,2,799,0.756976545
1,2,560,0.76688695
2,2,799,0.756976545
2,3,999,0.9413836
2,2,799,0.76688695
3,2,1199,0.756976545
3,3,1399,0.76688695
2,2,899,0.76688695
2,3,999,0.76688695
3,3,1299,0.76688695
2,2,890,0.9413836
2,2,899,0.76688695
2,1,650,0.76688695
2,2,780,0.756976545
3,2,1199,0.76688695
3,2,1299,0.76688695
2,2,899,0.76688695
3,3,1399,0.76688695
3,2,1199,0.9413836
3,2,1299,0.756976545
2,2,899,0.9413836
2,2,799,0.9413836
3,3,1199,0.9413836
2,2,999,0.756976545
3,2,1399,0.76688695
2,2,899,0.756976545
3,2,1299,0.756976545
3,2,1399,0.795749962
2,2,899,0.756976545
3,3,1399,0.76688695
2,2,999,0.76688695
2,2,899,0.9413836
3,2,1199,0.9413836
2,2,999,0.9413836
2,2,899,0.756976545
2,2,899,0.756976545
3,2,999,0.756976545
3,2,1399,0.912677526
3,2,899,0.9413836
2,2,999,0.756976545
2,2,1399,0.76688695
2,2,1199,0.76688695
2,2,799,0.9413836
2,2,899,0.9413836
2,2,1599,0.756976545
3,2,1199,0.76688695
3,2,1599,0.76688695
3,2,1399,0.76688695
3,2,1199,0.76688695
2,2,799,0.9413836
3,2,999,0.756976545
3,2,1399,0.9413836
2,2,999,0.76688695
2,2,799,0.9413836
2,2,899,0.756976545
2,2,799,0.9413836
2,2,899,0.9413836
2,2,799,0.9413836
2,2,899,0.9413836
3,2,899,0.756976545
3,2,999,0.76688695
2,3,1399,0.76688695
2,2,1199,0.756976545
3,2,1199,0.76688695
3,2,1399,0.9413836
3,2,1599,0.9413836
3,2,899,0.756976545
2,1,799,0.756976545
3,2,1399,0.756976545
2,2,999,0.76688695
2,2,999,0.76688695
2,3,1199,0.912677526
2,2,899,0.76688695
2,2,899,0.756976545
1,1,599,0.756976545
3,2,999,0.76688695
2,2,999,0.756976545
2,2,999,0.795749962
3,2,999,0.76688695
3,2,999,0.76688695
3,2,1199,0.756976545
2,2,899,0.76688695
2,2,799,0.9413836
2,2,899,0.76688695
2,2,799,0.9413836
3,2,899,0.76688695
2,2,899,0.9413836
3,2,1199,0.9413836
2,2,899,0.756976545
2,2,999,0.756976545
2,2,799,0.9413836
2,2,899,0.756976545
2,2,999,0.76688695
3,2,1399,0.76688695
1,1,899,0.756976545
2,2,799,0.76688695
3,2,899,0.76688695
2,2,799,0.76688695
2,2,999,0.76688695
2,2,1399,0.76688695
3,3,1499,0.711892128
3,2,899,0.756976545
3,2,999,0.912677526
2,2,899,0.76688695
2,2,899,0.76688695
3,2,1399,0.76688695
2,2,899,0.756976545
2,2,899,0.756976545
2,2,899,0.76688695
2,2,999,0.9413836
2,2,799,0.756976545
2,1,899,0.579558134
2,2,899,0.76688695
3,2,999,0.76688695
2,2,899,0.756976545
2,1,719,0.756976545
2,2,799,0.756976545
2,2,899,0.756976545
2,2,799,0.76688695
2,2,899,0.756976545
1,1,599,0.9413836
2,2,799,0.9413836
3,2,1199,0.76688695
2,3,999,0.912677526
2,2,799,0.9413836
2,2,799,0.76688695
2,2,999,0.912677526
2,2,899,0.76688695
2,1,599,0.756976545
3,2,1199,0.756976545
2,2,799,0.756976545
2,2,899,0.756976545
3,2,1399,0.629421175
2,2,899,0.06074518
2,2,899,0.9413836
2,2,799,0.76688695
2,2,899,0.76688695
2,2,899,0.756976545
2,1,899,0.9413836
3,2,1299,0.76688695
2,2,899,0.071423844
2,2,899,0.76688695
2,1,799,0.76688695
2,1,799,0.9413836
2,2,899,0.912677526
2,2,999,0.9413836
2,2,899,0.912677526
2,2,799,0.756976545
2,2,799,0.658451676
2,2,899,0.76688695
1,1,599,0.9413836
2,1,699,0.9413836
2,2,1199,0.579558134
2,2,799,0.9413836
3,2,1399,0.912677526
3,2,1199,0.658451676
2,2,899,0.76688695
2,1,799,0.658451676
2,1,899,0.071423844
2,2,899,0.76688695
2,1,699,0.76688695
2,2,799,0.76688695
2,2,1399,0.9413836
2,1,699,0.756976545
2,2,799,0.76688695
2,2,899,0.76688695
1,1,699,0.9413836
2,2,899,0.756976545
2,2,999,0.658451676
3,2,1199,0.76688695
2,2,999,0.658451676
1,2,799,0.9413836
2,2,799,0.756976545
2,2,799,0.76688695
1,1,599,0.76688695
1,1,499,0.76688695
1,1,499,0.76688695
1,1,499,0.76688695
1,1,499,0.658451676
1,1,499,0.629421175
1,1,699,0.004215694
1,1,499,0.76688695
1,1,599,0.912677526
1,1,499,0.658451676
1,1,499,0.9413836
1,1,499,0.9413836
1,1,499,0.76688695
1,1,499,0.756976545
1,1,499,0.658451676
1,1,599,0.76688695
1,1,499,0.756976545
1,1,499,0.756976545
1,1,499,0.76688695
1,1,499,0.9413836
1,1,499,0.756976545
1,1,499,0.9413836
2,1,599,0.76688695
2,1,599,0.76688695
1,1,499,0.76688695
1,1,499,0.756976545
1,1,499,0.756976545
2,1,599,0.76688695
1,1,499,0.76688695
1,1,499,0.648545027
1,1,499,0.76688695
1,1,599,0.004215694
1,1,599,0.9413836
2,1,699,0.912677526
1,1,699,0.76688695
1,1,699,0.47653383
2,1,699,0.76688695
1,1,599,0.756976545
2,1,599,0.76688695
1,1,599,0.658451676
2,1,799,0.9413836
1,1,599,0.76688695
1,1,799,0.516083837
1,1,499,0.324481726
1,1,599,0.9413836
2,1,799,0.76688695
1,1,699,0.76688695
1,1,699,0.76688695
1,1,699,0.648545027
1,1,599,0.76688695
1,1,699,0.629421175
1,1,699,0.76688695
2,1,799,0.711892128
1,1,699,0.912677526
2,1,599,0.76688695
1,1,599,0.9413836
1,1,599,0.76688695
2,1,599,0.76688695
1,1,599,0.9413836
2,1,699,0.76688695
1,1,599,0.071423844
1,1,599,0.9413836
1,1,599,0.912677526
2,1,699,0.76688695
2,1,699,0.76688695
2,1,699,0.06074518
2,1,599,0.9413836
2,1,799,0.756976545
2,1,699,0.76688695
1,1,699,0.361804157
1,1,499,0.76688695
1,1,599,0.76688695
2,1,699,0.76688695
1,1,599,0.76688695
1,1,599,0.76688695
2,1,799,0.756976545
1,1,599,0.756976545
1,1,499,0.756976545
1,1,599,0.76688695
2,1,699,0.795749962
1,1,599,0.361804157
1,1,499,0.756976545
1,1,699,0.9413836
1,1,599,0.76688695
1,1,499,0.756976545
1,1,699,0.47653383
1,1,699,0.76688695
1,1,599,0.76688695
2,1,599,0.76688695
2,1,799,0.47653383
1,1,599,0.76688695
2,1,599,0.76688695
2,1,699,0.658451676
2,1,599,0.76688695
1,1,699,0.756976545
1,1,599,0.9413836
2,1,699,0.76688695
2,1,699,0.76688695
1,1,699,0.76688695
1,2,599,0.9413836
1,1,699,0.47653383
2,1,699,0.795749962
1,1,599,0.76688695
2,1,759,0.76688695
2,1,699,0.76688695
2,1,799,0.76688695
1,1,799,0.756976545
1,2,599,0.795749962
2,1,799,0.324481726
2,1,699,0.756976545
2,1,699,0.9413836
1,1,599,0.76688695
1,1,599,0.756976545
2,1,699,0.76688695
2,1,699,0.76688695
1,1,599,0.756976545
1,1,599,0.756976545
2,1,799,0.76688695
1,1,599,0.76688695
2,1,699,0.569773257
1,1,599,0.76688695
2,2,799,0.76688695
2,1,699,0.76688695
1,1,599,0.756976545
1,1,699,0.756976545
1,1,799,0.756976545
2,1,699,0.76688695
2,1,699,0.756976545
1,1,599,0.76688695
1,1,699,0.569773257
2,2,999,0.76688695
2,1,599,0.76688695
1,1,899,0.756976545
1,1,799,0.569773257
1,1,599,0.756976545
2,2,799,0.76688695
2,1,649,0.76688695
1,1,599,0.9413836
1,1,599,0.756976545
1,1,599,0.897527993
2,1,699,0.912677526
1,1,599,0.9413836
1,1,699,0.648545027
2,1,699,0.658451676
2,1,799,0.76688695
2,1,599,0.76688695
2,1,699,0.795749962
2,1,699,0.648545027
2,2,799,0.361804157
2,2,899,0.756976545
2,1,599,0.756976545
2,2,799,0.76688695
1,1,599,0.756976545
2,1,699,0.76688695
2,1,799,0.658451676
1,1,699,0.76688695
1,1,699,0.76688695
2,1,699,0.76688695
3,2,1399,0.47653383
2,1,699,0.9413836
2,1,699,0.756976545
2,1,699,0.76688695
2,2,899,0.004215694
2,1,599,0.76688695
3,2,999,0.47653383
1,1,699,0.76688695
2,1,799,0.9413836
2,2,899,0.76688695
1,1,599,0.9413836
2,2,799,0.76688695
1,1,699,0.756976545
2,1,799,0.756976545
2,1,699,0.76688695
2,1,699,0.76688695
2,1,699,0.76688695
2,1,799,0.454713523
1,1,499,0.756976545
2,2,799,0.76688695
2,1,699,0.76688695
2,1,699,0.76688695
1,1,599,0.478868842
3,2,1399,0.658451676
1,1,799,0.329919368
1,1,499,0.478868842
2,1,899,0.454713523
1,1,499,0.347398043
2,2,1199,0.478868842
1,1,699,0.629421175
1,1,599,0.756976545
2,2,999,0.658451676
1,1,699,0.329919368
3,2,999,0.76688695
1,1,499,0.912677526
2,1,799,0.569773257
1,1,699,0.76688695
2,1,899,0.361804157
1,1,599,0.569773257
2,2,1199,0.629063189
3,3,1249,0.658451676
1,1,699,0.76688695
0,1,499,0.76688695
1,1,799,0.448107809
2,2,999,0.76688695
3,2,1399,0.795749962
1,2,799,0.9413836
2,2,1199,0.569773257
2,2,799,0.329919368
3,2,1599,0.658451676
3,3,1299,0.419488966
2,2,999,0.433560759
1,1,799,0.804495931
1,1,599,0.756976545
1,2,899,0.76688695
2,2,999,0.448107809
2,2,899,0.658451676
2,2,999,0.478868842
2,2,899,0.569773257
3,2,1199,0.568055093
2,2,899,0.545626998
2,2,899,0.545626998
1,1,499,0.863527536
2,2,799,0.569773257
2,2,999,0.361804157
1,1,699,0.863527536
1,1,699,0.579558134
3,2,1199,0.76688695
2,1,799,0.756976545
1,2,1599,0.361804157
1,1,499,0.9413836
1,1,699,0.448107809
2,1,1199,0.568433285
1,1,899,0.259872198
2,2,1199,0.334275424
1,1,599,0.454713523
1,1,599,0.568055093
3,2,1399,0.487020522
2,2,999,0.568433285
2,2,899,0.433560759
1,1,699,0.863527536
3,2,1399,0.361804157
1,2,799,0.545626998
2,2,1199,0.361804157
3,2,1399,0.433560759
2,2,899,0.568055093
1,2,699,0.242149726
1,1,799,0.898093104
3,3,1499,0.568433285
1,1,599,0.361804157
1,2,799,0.629063189
1,1,699,0.76688695
1,2,699,0.361804157
2,2,999,0.863527536
2,2,899,0.795749962
1,1,599,0.804495931
1,1,599,0.756976545
2,2,899,0.863527536
2,2,999,0.898093104
2,2,899,0.795749962
2,2,999,0.569773257
2,2,999,0.912677526
2,2,899,0.9413836
2,2,999,0.9413836
2,2,899,0.569773257
1,2,799,0.76688695
2,1,699,0.579558134
1,1,699,0.569773257
1,1,599,0.47653383
2,2,999,0.00149211
2,2,899,0.756976545
1,1,699,0.06074518
2,2,899,0.756976545
2,2,999,0.804495931
1,1,699,0.004215694
2,2,899,0.06074518
1,1,699,0.058989719
2,2,899,0.004215694
2,2,899,0.804495931
1,1,599,0.004215694
